,0
NEIGHBORHOOD_MILL BASIN,1.9245778853103477e-06
NEIGHBORHOOD_MILL BASIN               ,6.294669344556718e-07
NEIGHBORHOOD_MORNINGSIDE HEIGHTS,2.6815702532834783e-05
NEIGHBORHOOD_MORNINGSIDE HEIGHTS      ,1.3465120092457496e-05
NEIGHBORHOOD_MORRIS PARK/VAN NEST,2.232176869656345e-07
NEIGHBORHOOD_MORRIS PARK/VAN NEST     ,2.0933135419655704e-06
NEIGHBORHOOD_MORRISANIA/LONGWOOD,1.393322391092569e-05
NEIGHBORHOOD_MORRISANIA/LONGWOOD      ,3.0848067086594316e-05
NEIGHBORHOOD_MOTT HAVEN/PORT MORRIS,5.855901137517226e-06
NEIGHBORHOOD_MOTT HAVEN/PORT MORRIS   ,9.996623630566128e-07
NEIGHBORHOOD_MOUNT HOPE/MOUNT EDEN,2.4875328169275515e-05
NEIGHBORHOOD_MOUNT HOPE/MOUNT EDEN    ,7.02800677124735e-05
NEIGHBORHOOD_MURRAY HILL,8.182609270932715e-05
NEIGHBORHOOD_MURRAY HILL              ,0.00020157741967220482
NEIGHBORHOOD_NAVY YARD,3.1102769335036554e-07
NEIGHBORHOOD_NAVY YARD                ,4.7381225715960357e-07
NEIGHBORHOOD_NEPONSIT,1.565517153708908e-07
NEIGHBORHOOD_NEPONSIT                 ,4.993330234866451e-07
NEIGHBORHOOD_NEW BRIGHTON,1.8698040580882338e-07
NEIGHBORHOOD_NEW BRIGHTON             ,8.258116335283924e-07
NEIGHBORHOOD_NEW BRIGHTON-ST. GEORGE,1.601186965678257e-06
NEIGHBORHOOD_NEW BRIGHTON-ST. GEORGE  ,4.717232739524134e-06
NEIGHBORHOOD_NEW DORP,1.5544274135791148e-07
NEIGHBORHOOD_NEW DORP                 ,2.419672355116125e-07
NEIGHBORHOOD_NEW DORP-BEACH,5.6768988706627144e-08
NEIGHBORHOOD_NEW DORP-BEACH           ,4.8062602705192546e-08
NEIGHBORHOOD_NEW DORP-HEIGHTS,9.309734241112535e-08
NEIGHBORHOOD_NEW DORP-HEIGHTS         ,7.050901648379785e-07
NEIGHBORHOOD_NEW SPRINGVILLE,2.566800409671539e-07
NEIGHBORHOOD_NEW SPRINGVILLE          ,3.5310570380196933e-06
NEIGHBORHOOD_OAKLAND GARDENS,3.861854441174172e-07
NEIGHBORHOOD_OAKLAND GARDENS          ,1.575278434310526e-07
NEIGHBORHOOD_OAKWOOD,5.085950261643387e-08
NEIGHBORHOOD_OAKWOOD                  ,6.386192361929962e-08
NEIGHBORHOOD_OAKWOOD-BEACH,1.3849542296354992e-07
NEIGHBORHOOD_OAKWOOD-BEACH            ,1.052370312709723e-05
NEIGHBORHOOD_OCEAN HILL,4.8844192275557414e-06
NEIGHBORHOOD_OCEAN HILL               ,5.444930645084805e-05
NEIGHBORHOOD_OCEAN PARKWAY-NORTH,1.5947635471391974e-05
NEIGHBORHOOD_OCEAN PARKWAY-NORTH      ,1.2590376555015608e-05
NEIGHBORHOOD_OCEAN PARKWAY-SOUTH,7.472407275969076e-06
NEIGHBORHOOD_OCEAN PARKWAY-SOUTH      ,8.38517158090084e-06
NEIGHBORHOOD_OLD MILL BASIN,9.659300963868905e-08
NEIGHBORHOOD_OLD MILL BASIN           ,2.5623749449278215e-07
NEIGHBORHOOD_OZONE PARK,2.456388332844043e-06
NEIGHBORHOOD_OZONE PARK               ,1.4135110252045601e-06
NEIGHBORHOOD_PARK SLOPE,3.097045221399835e-05
NEIGHBORHOOD_PARK SLOPE               ,2.1516106769837043e-05
NEIGHBORHOOD_PARK SLOPE SOUTH,4.5098580734866624e-06
NEIGHBORHOOD_PARK SLOPE SOUTH         ,1.8743101606956074e-06
NEIGHBORHOOD_PARKCHESTER,6.381352680065366e-07
NEIGHBORHOOD_PARKCHESTER              ,9.561243639663458e-07
NEIGHBORHOOD_PELHAM BAY               ,0.0
NEIGHBORHOOD_PELHAM GARDENS,6.378164187762963e-08
NEIGHBORHOOD_PELHAM GARDENS           ,3.191797265516231e-08
NEIGHBORHOOD_PELHAM PARKWAY NORTH,1.2661281429069793e-07
NEIGHBORHOOD_PELHAM PARKWAY NORTH     ,9.606916066013916e-08
NEIGHBORHOOD_PELHAM PARKWAY SOUTH,7.084191188154129e-06
NEIGHBORHOOD_PELHAM PARKWAY SOUTH     ,2.132414573422784e-06
NEIGHBORHOOD_PLEASANT PLAINS,7.144907141884327e-08
NEIGHBORHOOD_PLEASANT PLAINS          ,2.84343036149792e-07
NEIGHBORHOOD_PORT IVORY,7.742693098688266e-08
NEIGHBORHOOD_PORT IVORY               ,2.4575669807465333e-08
NEIGHBORHOOD_PORT RICHMOND,6.769073905810634e-08
NEIGHBORHOOD_PORT RICHMOND            ,3.067464180293354e-06
NEIGHBORHOOD_PRINCES BAY,6.08798439035435e-07
NEIGHBORHOOD_PRINCES BAY              ,6.584982966906714e-07
NEIGHBORHOOD_PROSPECT HEIGHTS,6.335241231992977e-06
NEIGHBORHOOD_PROSPECT HEIGHTS         ,9.050744513141404e-06
NEIGHBORHOOD_QUEENS VILLAGE,3.7050889521062916e-07
NEIGHBORHOOD_QUEENS VILLAGE           ,1.1025469507330955e-06
NEIGHBORHOOD_QUEENS-UNKNOWN           ,1.2853427895967948e-09
NEIGHBORHOOD_RED HOOK,2.4146506028387974e-07
NEIGHBORHOOD_RED HOOK                 ,3.901053146003177e-06
NEIGHBORHOOD_REGO PARK,0.0016266077699953222
NEIGHBORHOOD_REGO PARK                ,3.710049298402599e-05
NEIGHBORHOOD_RICHMOND HILL,4.5569229944390726e-07
NEIGHBORHOOD_RICHMOND HILL            ,6.826265333207608e-07
NEIGHBORHOOD_RICHMONDTOWN,1.4854842770378054e-07
NEIGHBORHOOD_RICHMONDTOWN             ,1.5799773402541917e-07
NEIGHBORHOOD_RICHMONDTOWN-LIGHTHS HILL,1.0687700841998056e-07
